"Date","Vendor Name","Bill Number/Invoice Number","Bill Amount","Cash Paid","Online Paid ","Owner Paid","Due","Date of Purchase","Date of Bill Clear","Note/Remarks","Invoice Picture"
"26/02/2026","SANJAY SALES AGENCIES ","25-26/SSA-10110","3514","514","","3000","","26/02/2026","26/02/2026","",""
"26/02/2026","SOYETA TRADING CO","GTE80409","3346","","","3346","","26/02/2026","27/02/2026","",""
"27/02/2026","BEKARI ITEMS","1","611","611","","","","27/02/2026","27/02/2026","",""
"27/02/2026","BEKARI ITEMS","2","1410","1410","","","","27/02/2026","27/02/2026","",""
"28/02/2026","SAMRAT GUPTA CHAUDHURY","A000517","330","330","","","","28/02/2026","28/02/2026","",""
"02/03/2026","GOURI SHANKAR AGENCY ","FSL417853","2026","2026","","","","02/03/2026","07/03/2026","",""
"02/03/2026","SAHA AGENCY ( COCA-COLA)","27024","826","826","","","","02/03/2026","02/03/2026","",""
"02/03/2026","SANJAY SALES AGENCIES ","25-26/SSA-10246","6292","","","6292","","02/03/2026","02/03/2026","",""
"03/03/2026","AALEKHAYA ASSOCIATES ","A256003720","2981","2981","","","","03/03/2026","09/03/2026","",""
"03/03/2026","GOURI SANKAR ASSOCIATES ","I/25-26/077383","687","687","","","","03/03/2026","09/03/2026","",""
"05/03/2026","GOURI SANKAR ASSOCIATES ","I/25-26/077101","1666","1666","","","","05/03/2026","07/03/2026","",""
"05/03/2026","SABITRI TRADERS ","266","1442","1442","","","","05/03/2026","05/03/2026","",""
"05/03/2026","SOYETA TRADING CO","GTE81566","780","780","","","","05/03/2026","05/03/2026","",""
"06/03/2026","BARNWAL AGENCY","A006329","6065","6065","","","","06/03/2026","06/03/2026","",""
"06/03/2026","COOCH BEHAR BAZAAR  (GHEE,PAPAR, KASONTI)","165656","3765","3765","","","","06/03/2026","06/03/2026","",""
"06/03/2026","PRAN ","6/3","709","709","","","","06/03/2026","06/03/2026","",""
"06/03/2026","SARADA SALES ","KEL/24-25/12277","2533","825","","1708","","06/03/2026","06/03/2026","",""
"06/03/2026","SUTRADHAR EXPORT & IMPORT","455","714","714","","","","06/03/2026","06/03/2026","",""
"07/03/2026","JOYGURU ENTERPRISE","7/3","640","640","","","","07/03/2026","07/03/2026","",""
