"Date","Time","Type","Reference No","Discription","Cash IN","Cash Out","UPI IN","UPI OUT","Running Cash Balance","Running UPI Balance","Total Available (Cash+UPI)","","","","","","","","","","","","","",""
"","","","","","10,170.00","","","","","","","","","","","","","","","","","","","",""
"05.02.2026","0","Opening Balance","","","10,170.00","","0.00","","10,170.00","0.00","10,170.00","","","","","","","","","","","","","",""
"05.02.2026","0","Vendor Payment-Cash","2493","N. BISWAS & CHOWDHURY","","4,434.00","","","5,736.00","0.00","5,736.00","","","","","","","","","","","","","",""
"05.02.2026","0","Sale-Cash","","","3,413.00","","","","9,149.00","0.00","9,149.00","","","","","","","","","","","","","",""
"05.02.2026","0","Sale-UPI","","","","","1,597.00","","9,149.00","1,597.00","10,746.00","","","","","","","","","","","","","",""
"06.02.2026","0","Opening Balance","","","","","","","9,149.00","1,597.00","10,746.00","","","","","","","","","","","","","",""
"06.02.2026","0","Sale-Cash","","","1,959.00","","","","11,108.00","1,597.00","12,705.00","","","","","","","","","","","","","",""
"06.02.2026","0","Vendor Payment-Cash","","MURI","","640.00","","","10,468.00","1,597.00","12,065.00","","","","","","","","","","","","","",""
"06.02.2026","0","Vendor Payment-Cash","","IMAMI","","1,585.00","","","8,883.00","1,597.00","10,480.00","","","","","","","","","","","","","",""
"06.02.2026","0","Sale-UPI","","","","","2,600.00","","8,883.00","4,197.00","13,080.00","","","","","","","","","","","","","",""
"07.02.2026","0","Opening Balance","","","","","","","8,883.00","4,197.00","13,080.00","","","","","","","","","","","","","",""
"07.02.2026","0","Sale-Cash","","","2,357.00","","","","11,240.00","4,197.00","15,437.00","","","","","","","","","","","","","",""
"07.02.2026","0","Sale-UPI","","","","","2,859.00","","11,240.00","7,056.00","18,296.00","","","","","","","","","","","","","",""
"07.02.2026","0","Vendor Payment-Cash","","SUNFEAST","","1,747.00","","","9,493.00","7,056.00","16,549.00","","","","","","","","","","","","","",""
"07.02.2026","0","Vendor Payment-Cash","","SABITRA","","1,193.00","","","8,300.00","7,056.00","15,356.00","","","","","","","","","","","","","",""
"08.02.2026","0","Sale-Cash","","","2,250.00","","","","10,550.00","7,056.00","17,606.00","","","","","","","","","","","","","",""
"08.02.2026","0","Sale-UPI","","","","","1,650.00","","10,550.00","8,706.00","19,256.00","","","","","","","","","","","","","",""
"09.02.2026","0","Opening Balance","","","","","","","10,550.00","8,706.00","19,256.00","","","","","","","","","","","","","",""
"09.02.2026","0","Sale-Cash","","","3,046.00","","","","13,596.00","8,706.00","22,302.00","","","","","","","","","","","","","",""
"09.02.2026","0","Sale-UPI","","","","","3,881.00","","13,596.00","12,587.00","26,183.00","","","","","","","","","","","","","",""
"09.02.2026","0","Vendor Payment-Cash","","FORTUNE","","8,190.00","","","5,406.00","12,587.00","17,993.00","","","","","","","","","","","","","",""
"09.02.2026","0","Vendor Payment-Cash","","BRITANNIYA","","2,358.00","","","3,048.00","12,587.00","15,635.00","","","","","","","","","","","","","",""
"09.02.2026","0","Expense","","TOTO+PRINTER PAGE","","170.00","","","2,878.00","12,587.00","15,465.00","","","","","","","","","","","","","",""
"10.02.2026","0","Opening Balance","","","","","","","2,878.00","12,587.00","15,465.00","","","","","","","","","","","","","",""
"10.02.2026","0","Sale-Cash","","","3,088.00","","","","5,966.00","12,587.00","18,553.00","","","","","","","","","","","","","",""
"10.02.2026","0","Sale-UPI","","","","","1,282.00","","5,966.00","13,869.00","19,835.00","","","","","","","","","","","","","",""
"10.02.2026","0","Vendor Payment-Cash","","PROVUJI","","1,362.00","","","4,604.00","13,869.00","18,473.00","","","","","","","","","","","","","",""
"10.02.2026","0","Vendor Payment-Cash","","HINDUSTAN","","1,346.00","","","3,258.00","13,869.00","17,127.00","","","","","","","","","","","","","",""
"11.02.2026","0","Opening Balance","","","","","","","3,258.00","13,869.00","17,127.00","","","","","","","","","","","","","",""
"11.02.2026","0","Sale-Cash","","","3,012.00","","","","6,270.00","13,869.00","20,139.00","","","","","","","","","","","","","",""
"11.02.2026","0","Sale-UPI","","","","","1,649.00","","6,270.00","15,518.00","21,788.00","","","","","","","","","","","","","",""
"11.02.2026","0","Vendor Payment-Cash","","BIKAJI","","1,256.00","","","5,014.00","15,518.00","20,532.00","","","","","","","","","","","","","",""
"11.02.2026","0","Vendor Payment-Cash","","CADBURY","","947.00","","","4,067.00","15,518.00","19,585.00","","","","","","","","","","","","","",""
"12.02.2026","0","Opening Balance","","","","","","","4,067.00","15,518.00","19,585.00","","","","","","","","","","","","","",""
"12.02.2026","0","Sale-Cash","","","3,495.00","","","","7,562.00","15,518.00","23,080.00","","","","","","","","","","","","","",""
"12.02.2026","0","Sale-UPI","","","","","1,563.00","","7,562.00","17,081.00","24,643.00","","","","","","","","","","","","","",""
"12.02.2026","0","Expense","","","","40.00","","","7,522.00","17,081.00","24,603.00","","","","","","","","","","","","","",""
"13.02.2026","0","Opening Balance","","","","","","","7,522.00","17,081.00","24,603.00","","","","","","","","","","","","","",""
"13.02.2026","0","Sale-Cash","","","3,215.00","","","","10,737.00","17,081.00","27,818.00","","","","","","","","","","","","","",""
"13.02.2026","0","Sale-UPI","","","","","2,597.00","","10,737.00","19,678.00","30,415.00","","","","","","","","","","","","","",""
"13.02.2026","0","Vendor Payment-Cash","","ITC","","3,313.00","","","7,424.00","19,678.00","27,102.00","","","","","","","","","","","","","",""
"14.02.2026","0","Opening Balance","","","","","","","7,424.00","19,678.00","27,102.00","","","","","","","","","","","","","",""
"14.02.2026","0","Sale-Cash","","","1,659.00","","","","9,083.00","19,678.00","28,761.00","","","","","","","","","","","","","",""
"14.02.2026","0","Sale-UPI","","","","","1,429.00","","9,083.00","21,107.00","30,190.00","","","","","","","","","","","","","",""
"14.02.2026","0","Vendor Payment-Cash","","GOURI SANKAR AGENCY","","6,248.00","","","2,835.00","21,107.00","23,942.00","","","","","","","","","","","","","",""
"14.02.202","0","Vendor Payment-Cash","","BARNWAL AGENCY (AMUL)","","902.00","","","1,933.00","21,107.00","23,040.00","","","","","","","","","","","","","",""
"15.02.2026","0","Opening Balance","","","","","","","1,933.00","21,107.00","23,040.00","","","","","","","","","","","","","",""
"15.02.2026","0","Sale-Cash","","","3,506.00","","","","5,439.00","21,107.00","26,546.00","","","","","","","","","","","","","",""
"15.02.2026","0","Sale-UPI","","","","","1,181.00","","5,439.00","22,288.00","27,727.00","","","","","","","","","","","","","",""
"15.02.2026","0","Expense","","","","50.00","","","5,389.00","22,288.00","27,677.00","","","","","","","","","","","","","",""
"16.02.2026","0","Opening Balance","","","","","","","5,389.00","22,288.00","27,677.00","","","","","","","","","","","","","",""
"16.02.2026","0","Sale-Cash","","","6,159.00","","","","11,548.00","22,288.00","33,836.00","","","","","","","","","","","","","",""
"16.02.2026","0","Sale-UPI","","","","","1,092.00","","11,548.00","23,380.00","34,928.00","","","","","","","","","","","","","",""
"16.02.2026","0","Vendor Payment-Cash","","PEPSI","","5,010.00","","","6,538.00","23,380.00","29,918.00","","","","","","","","","","","","","",""
"16.02.2026","0","Vendor Payment-Cash","","BARNWAL AGENCY (AMUL)","","2,316.00","","","4,222.00","23,380.00","27,602.00","","","","","","","","","","","","","",""
"16.02.2026","0","Vendor Payment-Cash","","GOURI SANKAR","","393.00","","","3,829.00","23,380.00","27,209.00","","","","","","","","","","","","","",""
"16.02.2026","0","Vendor Payment-Cash","","BARNWAL AGENCY (AMUL)","","1,060.00","","","2,769.00","23,380.00","26,149.00","","","","","","","","","","","","","",""
"16.02.2026","0","Expense","","TOTO+ CHARITY","","30.00","","","2,739.00","23,380.00","26,119.00","","","","","","","","","","","","","",""
"17.02.2026","0","Opening Balance","","","","","","","7,763.00","23,380.00","31,143.00","","","","","","","","","","","","","",""
"17.02.2026","0","Sale-Cash","","","5,024.00","","","","7,763.00","23,995.00","31,758.00","","","","","","","","","","","","","",""
"17.02.2026","0","Sale-UPI","","","","","615.00","","7,763.00","23,995.00","31,758.00","","","","","","","","","","","","","",""
"17.02.2026","0","Vendor Payment-Cash","","SOYETA TREADING","","997.00","","","6,766.00","23,995.00","30,761.00","","","","","","","","","","","","","",""
"17.02.2026","0","Vendor Payment-Cash","","AMRITA SALES","","4,202.00","","","2,564.00","23,995.00","26,559.00","","","","","","","","","","","","","",""
"17.02.2026","0","Vendor Payment-Cash","","N BISWAS","","","","","2,564.00","23,995.00","26,559.00","","","","","","","","","","","","","",""
"17.02.2026","0","Vendor Payment-Cash","","COOCH BEHAR BAZAAR  (KELLOGGS)","","722.00","","","1,842.00","23,995.00","25,837.00","","","","","","","","","","","","","",""
"18.02.2026","0","Opening Balance","","","","","","","1,842.00","23,995.00","25,837.00","","","","","","","","","","","","","",""
"18.02.2026","0","Sale-Cash","","","3,510.00","","","","5,352.00","23,995.00","29,347.00","","","","","","","","","","","","","",""
"18.02.2026","0","Sale-UPI","","","","","1,055.00","","5,352.00","25,050.00","30,402.00","","","","","","","","","","","","","",""
"19.02.2026","0","Opening Balance","","","","","","","5,352.00","25,050.00","30,402.00","","","","","","","","","","","","","",""
"19.02.2026","0","Sale-Cash","","","4,627.00","","","","9,979.00","25,050.00","35,029.00","","","","","","","","","","","","","",""
"19.02.2026","0","Sale-UPI","","","","","2,079.00","","9,979.00","27,129.00","37,108.00","","","","","","","","","","","","","",""
"19.02.2026","0","Vendor Payment-Cash","","SAHA  AGENCY","","771.00","","","9,208.00","27,129.00","36,337.00","","","","","","","","","","","","","",""
"19.02.2026","0","Vendor Payment-Cash","","GOURI SANKAR ASSOCIATES","","2,709.00","","","6,499.00","27,129.00","33,628.00","","","","","","","","","","","","","",""
"20.02.2026","0","Opening Balance","","","","","","","6,499.00","27,129.00","33,628.00","","","","","","","","","","","","","",""
"20.02.2026","0","Sale-Cash","","","2,410.00","","","","8,909.00","27,129.00","36,038.00","","","","","","","","","","","","","",""
"20.02.2026","0","Sale-UPI","","","","","3,092.00","","8,909.00","30,221.00","39,130.00","","","","","","","","","","","","","",""
"20.02.2026","0","Vendor Payment-Cash","","SOYETA TRADING","","542.00","","","8,367.00","30,221.00","38,588.00","","","","","","","","","","","","","",""
"20.02.2026","0","Expense","","DHUB KHATI","","55.00","","","8,312.00","30,221.00","38,533.00","","","","","","","","","","","","","",""
"21.02.2026","0","Opening Balance","","","","","","","8,312.00","30,221.00","38,533.00","","","","","","","","","","","","","",""
"21.02.2026","0","Sale-Cash","","","1,404.00","","","","9,716.00","30,221.00","39,937.00","","","","","","","","","","","","","",""
"21.02.2026","0","Sale-UPI","","","","","2,261.00","","9,716.00","32,482.00","42,198.00","","","","","","","","","","","","","",""
"21.02.2026","0","Vendor Payment-Cash","","NESLA","","6,118.00","","","3,598.00","32,482.00","36,080.00","","","","","","","","","","","","","",""
"22.02.2026","0","Opening Balance","","","","","","","3,598.00","32,482.00","36,080.00","","","","","","","","","","","","","",""
"22.02.2026","0","Sale-Cash","","","2,237.00","","","","5,835.00","34,363.00","40,198.00","","","","","","","","","","","","","",""
"22.02.2026","0","Sale-UPI","","","","","1,881.00","","5,835.00","34,363.00","40,198.00","","","","","","","","","","","","","",""
"23.02.2026","0","Opening Balance","","","","","","","5,835.00","34,363.00","40,198.00","","","","","","","","","","","","","",""
"23.02.2026","0","Sale-Cash","","","3,840.00","","","","9,675.00","34,363.00","44,038.00","","","","","","","","","","","","","",""
"23.02.2026","0","Sale-UPI","","","","","4,406.00","","9,675.00","38,769.00","48,444.00","","","","","","","","","","","","","",""
"23.02.2026","0","Vendor Payment-Cash","","BRITANNIYA","","2,995.00","","","6,680.00","38,769.00","45,449.00","","","","","","","","","","","","","",""
"23.02.2026","0","Vendor Payment-Cash","","BEKARI","","1,060.00","","","5,620.00","38,769.00","44,389.00","","","","","","","","","","","","","",""
"24.02.2026","0","Opening Balance","","","","","","","5,620.00","38,769.00","44,389.00","","","","","","","","","","","","","",""
"24.02.2026","0","Sale-Cash","","","2,928.00","","","","8,548.00","38,769.00","47,317.00","","","","","","","","","","","","","",""
"24.02.2026","0","Sale-UPI","","","","","1,132.00","","8,548.00","39,901.00","48,449.00","","","","","","","","","","","","","",""
"24.02.2026","0","Vendor Payment-Cash","","SOYETA TRADING","","830.00","","","7,718.00","39,901.00","47,619.00","","","","","","","","","","","","","",""
"24.02.2026","0","Vendor Payment-Cash","","PROBHUJI","","1,640.00","","","6,078.00","39,901.00","45,979.00","","","","","","","","","","","","","",""
"24.02.2026","0","Vendor Payment-Cash","","NYKAA","","130.00","","","5,948.00","39,901.00","45,849.00","","","","","","","","","","","","","",""
"24.02.2026","0","Vendor Payment-Cash","","NIVEA","","311.00","","","5,637.00","39,901.00","45,538.00","","","","","","","","","","","","","",""
"24.02.2026","0","Expense","","PRINTER PAGE","","410.00","","","5,227.00","39,901.00","45,128.00","","","","","","","","","","","","","",""
"24.02.2026","0","Vendor Payment-Cash","","BIKAJI","","1,115.00","","","4,112.00","39,901.00","44,013.00","","","","","","","","","","","","","",""
"25.02.2026","0","Opening Balance","","","","","","","4,112.00","39,901.00","44,013.00","","","","","","","","","","","","","",""
"25.02.2026","0","Sale-Cash","","","5,673.00","","","","9,785.00","39,901.00","49,686.00","","","","","","","","","","","","","",""
"25.02.2026","0","Sale-UPI","","","","","2,767.00","","9,785.00","42,668.00","52,453.00","","","","","","","","","","","","","",""
"25.02.2026","0","Vendor Payment-Cash","A006177","AMUL","","4,572.00","","","5,213.00","42,668.00","47,881.00","","","","","","","","","","","","","",""
"25.02.2026","0","Vendor Payment-Cash","","BEKARIY","","233.00","","","4,980.00","42,668.00","47,648.00","","","","","","","","","","","","","",""
"25.02.2026","0","Vendor Payment-Cash","","PROBHUJI","","141.00","","","4,839.00","42,668.00","47,507.00","","","","","","","","","","","","","",""
"26.02.2026","0","Opening Balance","","","","","","","4,839.00","42,668.00","47,507.00","","","","","","","","","","","","","",""
"26.02.2026","0","Sale-Cash","","","2,314.00","","","","7,153.00","42,668.00","49,821.00","","","","","","","","","","","","","",""
"26.02.2026","0","Sale-UPI","","","","","3,385.00","","7,153.00","46,053.00","53,206.00","","","","","","","","","","","","","",""
"26.02.2026","0","Vendor Payment-Cash","","FORTUNE","","514.00","","","6,639.00","46,053.00","52,692.00","","","","","","","","","","","","","",""
"","","Sale-Split","","","","","","","6,639.00","46,053.00","52,692.00","","","","","","","","","","","","","",""
"27.02.2026","0","Opening Balance","","","","","","","6,639.00","46,053.00","52,692.00","","","","","","","","","","","","","",""
"27.02.2026","0","Sale-Cash","","","1,768.00","","","","8,407.00","46,053.00","54,460.00","","","","","","","","","","","","","",""
"27.02.2026","0","Sale-UPI","","","","","826.00","","8,407.00","46,879.00","55,286.00","","","","","","","","","","","","","",""
"27.02.2026","0","Vendor Payment-Cash","","BEKARY","","2,021.00","","","6,386.00","46,879.00","53,265.00","","","","","","","","","","","","","",""
"28.02.2026","0","Opening Balance","","","","","","","6,386.00","46,879.00","53,265.00","","","","","","","","","","","","","",""
"28.02.2026","0","Sale-Cash","","","1,559.00","","","","7,945.00","46,879.00","54,824.00","","","","","","","","","","","","","",""
"28.02.2026","0","Sale-UPI","","","","","2,108.00","","7,945.00","48,987.00","56,932.00","","","","","","","","","","","","","",""
"28.02.2026","0","Vendor Payment-Cash","","SAMPOT GUPTA CHAUDHARY","","330.00","","","7,615.00","48,987.00","56,602.00","","","","","","","","","","","","","",""
"28.02.2026","0","Vendor Payment-Cash",""," NESCAFE","","1,626.00","","","5,989.00","48,987.00","54,976.00","","","","","","","","","","","","","",""
"28.02.2026","0","Expense","","TOTO + CHERITY","","120.00","","","5,869.00","48,987.00","54,856.00","","","","","","","","","","","","","",""
"28.02.2026","0","Vendor Payment-Cash","","RICE Rifad Paid Cred UPI","","","","","5,869.00","48,987.00","54,856.00","","","","","","","","","","","","","",""
"01.03.2026","0","Opening Balance","","","","","","","5,869.00","48,987.00","54,856.00","","","","","","","","","","","","","",""
"01.03.2026","22:07:00","Sale-Cash","","","2,937.00","","","","8,806.00","48,987.00","57,793.00","","","","","","","","","","","","","",""
"01.03.2026","22:07:00","Sale-UPI","","","","","4,969.00","","8,806.00","53,956.00","62,762.00","","","","","","","","","","","","","",""
"02.03.2026","18:22:00","Opening Balance","","","","","","","8,806.00","53,956.00","62,762.00","","","","","","","","","","","","","",""
"02.03.2026","18:22:00","Vendor Payment-Cash","I/25-26/075872","GOURI SANKAR ASSOCIATES","","1,423.00","","","7,383.00","53,956.00","61,339.00","","","","","","","","","","","","","",""
"02.03.2026","18:24:00","Vendor Payment-Cash","A256003347","AALEKHYA ASSOCIATES","","1,713.00","","","5,670.00","53,956.00","59,626.00","","","","","","","","","","","","","",""
"02.03.2026","18:26:00","Vendor Payment-Cash","27024","SAHA AGENCY","","826.00","","","4,844.00","53,956.00","58,800.00","","","","","","","","","","","","","",""
"02.03.2026","21:23:00","Vendor Payment-Cash","25-26/SSA-10246","SANJAY SALES AGENCIEY","","","","","4,844.00","53,956.00","58,800.00","","","","","","","","","","","","","",""
"02.03.2026","22:05:00","Sale-Cash","","","4,104.00","","","","8,948.00","53,956.00","62,904.00","","","","","","","","","","","","","",""
"02.03.2026","22:06:00","Sale-UPI","","","","","2,626.00","","8,948.00","56,582.00","65,530.00","","","","","","","","","","","","","",""
"02.03.2026","22:08:00","Expense","","MOUSE","","200.00","","","8,748.00","56,582.00","65,330.00","","","","","","","","","","","","","",""
"03.03.2026","09:28:00","Opening Balance","","","","","","","8,748.00","56,582.00","65,330.00","","","","","","","","","","","","","",""
"03.03.2026","14:26:00","Vendor Payment-Cash","","N BISWAS&CHOWDHURIY","","3,345.00","","","5,403.00","56,582.00","61,985.00","","","","","","","","","","","","","",""
"03.03.2026","22:07:00","Sale-Cash","","","5,833.00","","","","11,236.00","56,582.00","67,818.00","","","","","","","","","","","","","",""
"03.03.2026","22:07:00","Sale-UPI","","","","","1,241.00","","11,236.00","57,823.00","69,059.00","","","","","","","","","","","","","",""
"04.03.2026","22:02:00","Opening Balance","","","","","","","11,236.00","57,823.00","69,059.00","","","","","","","","","","","","","",""
"04.03.2026","22:02:00","Sale-Cash","","","4,220.00","","","","15,456.00","57,823.00","73,279.00","","","","","","","","","","","","","",""
"04.03.2026","22:02:00","Sale-UPI","","","","","3,001.00","","15,456.00","60,824.00","76,280.00","","","","","","","","","","","","","",""
"05.03.2026","09:23:00","Opening Balance","","","","","","","15,456.00","60,824.00","76,280.00","","","","","","","","","","","","","",""
"05.03.2026","10:53:00","Vendor Payment-Cash","266","SABITRI TRADERS","","1,442.00","","","14,014.00","60,824.00","74,838.00","","","","","","","","","","","","","",""
"05.03.2026","19:16:00","Vendor Payment-Cash","GTE81566","SOYETA TRADING CO","","780.00","","","13,234.00","60,824.00","74,058.00","","","","","","","","","","","","","",""
"05.03.2026","22:03:00","Sale-Cash","","","3,134.00","","","","16,368.00","60,824.00","77,192.00","","","","","","","","","","","","","",""
"05.03.2026","22:03:00","Sale-UPI","","","","","3,322.00","","16,368.00","64,146.00","80,514.00","","","","","","","","","","","","","",""
"06.03.2026","09:00:00","Opening Balance","","","","","","","16,368.00","64,146.00","80,514.00","","","","","","","","","","","","","",""
"06.03.2026","11:01:00","Exchange","1372","GILLETTE GUARD  CHANG THIS PRODUCT","","40.00","","","16,328.00","64,146.00","80,474.00","","","","","","","","","","","","","",""
"06.03.2026","15:19:00","Vendor Payment-Cash","455","SUTRADHAR EXPORT & IMPORT","","714.00","","","15,614.00","64,146.00","79,760.00","","","","","","","","","","","","","",""
"06.03.2026","15:21:00","Vendor Payment-Cash","15656","COOCH BEHAR BAZAAR  (GHEE,PAPAR, KASONTI)","","3,765.00","","","11,849.00","64,146.00","75,995.00","","","","","","","","","","","","","",""
"06.03.2026","15:22:00","Vendor Payment-Cash","KEL/24-25/12277","SARADA SALES","","825.00","","","11,024.00","64,146.00","75,170.00","","","","","","","","","","","","","",""
"06.03.2026","18:44:00","Vendor Payment-Cash","Fri Mar 06 2026 00:00:00 GMT+0530 (India Standard Time)","PRAN","","709.00","","","10,315.00","64,146.00","74,461.00","","","","","","","","","","","","","",""
"06.03.2026","19:19:00","Vendor Payment-Cash","A006329","BARNWAL AGENCY","","6,065.00","","","4,250.00","64,146.00","68,396.00","","","","","","","","","","","","","",""
"06.03.2026","19:45:00","Expense","","JAI MATA DI PARIVAHAN PVT. LTD  ","","1,050.00","","","3,200.00","64,146.00","67,346.00","","","","","","","","","","","","","",""
"06.03.2026","19:46:00","Vendor Payment-Cash","","TOTO  VARA","","120.00","","","3,080.00","64,146.00","67,226.00","","","","","","","","","","","","","",""
"06.03.2026","22:11:00","Sale-Cash","","","1,693.00","","","","4,773.00","64,146.00","68,919.00","","","","","","","","","","","","","",""
"06.03.2026","22:11:00","Sale-UPI","","","","","1,636.00","","4,773.00","65,782.00","70,555.00","","","","","","","","","","","","","",""
"07.03.2026","12:28:00","Opening Balance","","","","","","","4,773.00","65,782.00","70,555.00","","","","","","","","","","","","","",""
"07.03.2026","12:29:00","Sale-Cash","","DADU ADD ","10,000.00","","","","14,773.00","65,782.00","80,555.00","","","","","","","","","","","","","",""
"07.03.2026","12:29:00","Vendor Payment-Cash","I/25-26/077101","GOURI SANKAR ASSOCIATES","","1,666.00","","","13,107.00","65,782.00","78,889.00","","","","","","","","","","","","","",""
"07.03.2026","12:31:00","Vendor Payment-Cash","FSL417853","GOURI SANKAR AGENCY","","2,025.00","","","11,082.00","65,782.00","76,864.00","","","","","","","","","","","","","",""
"07.03.2026","12:31:00","Vendor Payment-Cash","25-26/SSA-10433","SANJAY SALES AGENCIES","","6,802.00","","","4,280.00","65,782.00","70,062.00","","","","","","","","","","","","","",""
"07.03.2026","13:23:00","Vendor Payment-Cash","MKE/10544","MAA KAMAKHYA ENTERPRISE ","","","","","4,280.00","65,782.00","70,062.00","","","","","","","","","","","","","",""
"07.03.2027","14:46:00","Vendor Payment-Cash","Sat Mar 07 2026 00:00:00 GMT+0530 (India Standard Time)","JOYGURU ENTERPRISE","","640.00","","","3,640.00","65,782.00","69,422.00","","","","","","","","","","","","","",""
"07.03.2026","18:48:00","Vendor Payment-Cash","121","COOCH BEHAR BAZAAR  (MURI,OIL,DIM)","","1,780.00","","","1,860.00","65,782.00","67,642.00","","","","","","","","","","","","","",""
"07.03.2026","18:54:00","Expense","","TOTO","","50.00","","","1,810.00","65,782.00","67,592.00","","","","","","","","","","","","","",""
"07.03.2026","22:11:00","Sale-Cash","","","5,682.00","","","","7,492.00","65,782.00","73,274.00","","","","","","","","","","","","","",""
"07.03.2026","22:11:00","Sale-UPI","","","","","1,341.00","","7,492.00","67,123.00","74,615.00","","","","","","","","","","","","","",""
"08.03.2026","10:11:00","Opening Balance","","","","","","","7,492.00","67,123.00","74,615.00","","","","","","","","","","","","","",""
"08.03.2026","22:06:00","Sale-Cash","","","5,328.00","","","","12,820.00","67,123.00","79,943.00","","","","","","","","","","","","","",""
"08.03.2026","22:06:00","Sale-UPI","","","","","4,089.00","","12,820.00","71,212.00","84,032.00","","","","","","","","","","","","","",""
"09.03.2026","11:37:00","Vendor Payment-Cash","I/25-26/077383","GOURI SANKAR ASSOCIATES","","687.00","","","12,133.00","71,212.00","83,345.00","","","","","","","","","","","","","",""
"09.03.2026","12:35:00","Vendor Payment-Cash","A256003720","AALEKHYA ASSOCIATES","","2,981.00","","","9,152.00","71,212.00","80,364.00","","","","","","","","","","","","","",""
"09.03.2026","20:11:00","Vendor Payment-Cash","157","PAUL & SONS","","2,230.00","","","6,922.00","71,212.00","78,134.00","","","","","","","","","","","","","",""
"09.03.2026","20:13:00","Vendor Payment-Cash","25-26/SSA-10494","SANJAY SALES AGENCIES","","721.00","","","6,201.00","71,212.00","77,413.00","","","","","","","","","","","","","",""
"09.03.2026","20:13:00","Expense","","PLASTIC BAGS","","760.00","","","5,441.00","71,212.00","76,653.00","","","","","","","","","","","","","",""
"09.03.2026","22:11:00","Vendor Payment-Cash","","  COCH BHAR BAZAAR (TEZZ PATA, CHALER GURA)","","950.00","","","4,491.00","71,212.00","75,703.00","","","","","","","","","","","","","",""
"09.03.2026","22:11:00","Expense","","PRINTER PAGE","","300.00","","","4,191.00","71,212.00","75,403.00","","","","","","","","","","","","","",""
"09.03.2026","22:12:00","Expense","","JAI  MATA DI PARIVHAN + TOTO","","1,850.00","","","2,341.00","71,212.00","73,553.00","","","","","","","","","","","","","",""
"09.03.2026","22:13:00","Expense","","TOTO","","50.00","","","2,291.00","71,212.00","73,503.00","","","","","","","","","","","","","",""
"09.03.2026","22:13:00","Sale-Cash","","","3,906.00","","","","6,197.00","71,212.00","77,409.00","","","","","","","","","","","","","",""
"09.03.2026","22:13:00","Sale-UPI","","","","","1,670.00","","6,197.00","72,882.00","79,079.00","","","","","","","","","","","","","",""
"10.03.2026","10:04:00","Opening Balance","","","","","","","6,197.00","72,882.00","79,079.00","","","","","","","","","","","","","",""
"10.03.2026","12:17:00","Vendor Payment-Cash","AT/2480/25-26","ANIL TRADERS ","","1,384.00","","","4,813.00","72,882.00","77,695.00","","","","","","","","","","","","","",""
"10.03.2026","14:36:00","Vendor Payment-Cash","GGTE83880","SOYETA TRADINGG CO","","","","","4,813.00","72,882.00","77,695.00","","","","","","","","","","","","","",""
"10.03.2026","16:11:00","Vendor Payment-Cash","Tue Mar 10 2026 00:00:00 GMT+0530 (India Standard Time)","JOYGURU ENTERPRISE","","291.00","","","4,522.00","72,882.00","77,404.00","","","","","","","","","","","","","",""
"10.03.2026","22:20:00","Sale-Cash","","","3,357.00","","","","7,879.00","72,882.00","80,761.00","","","","","","","","","","","","","",""
"10.03.2026","22:22:00","Sale-UPI","","","","","2,372.00","","7,879.00","75,254.00","83,133.00","","","","","","","","","","","","","",""
"11.03.2026","09:20:00","Opening Balance","","","","","","","7,879.00","75,254.00","83,133.00","","","","","","","","","","","","","",""
"11.03.2026","22:12:00","Sale-Cash","","","3,922.00","","","","11,801.00","75,254.00","87,055.00","","","","","","","","","","","","","",""
"11.03.2026","22:12:00","Sale-UPI","","","","","4,927.00","","11,801.00","80,181.00","91,982.00","","","","","","","","","","","","","",""
"12.03.2026","11:08:00","Opening Balance","","","","","","","11,801.00","80,181.00","91,982.00","","","","","","","","","","","","","",""
"12.03.2026","14:58:00","Vendor Payment-Cash","GST/25-26/14964","NEW ICE BA","","2,619.00","","","9,182.00","80,181.00","89,363.00","","","","","","","","","","","","","",""
"12.03.2026","18:55:00","Vendor Payment-Cash","25-26/SSA-10611","SANJAY SALES AGENCIES","","660.00","","","8,522.00","80,181.00","88,703.00","","","","","","","","","","","","","",""
"12.03.2026","22:07:00","Sale-Cash","","","3,226.00","","","","11,748.00","80,181.00","91,929.00","","","","","","","","","","","","","",""
"12.03.2026","22:07:00","Sale-UPI","","","","","420.00","","11,748.00","80,601.00","92,349.00","","","","","","","","","","","","","",""
"12.03.2026","22:08:00","Expense","","TOTO + CHARITY","","50.00","","","11,698.00","80,601.00","92,299.00","","","","","","","","","","","","","",""
"13.03.2026","11:02:00","Opening Balance","","","","","","","11,698.00","80,601.00","92,299.00","","","","","","","","","","","","","",""
"13.03.2026","16:39:00","Vendor Payment-Cash","A006474","BARNWAL AGENCY","","7,608.00","","","4,090.00","80,601.00","84,691.00","","","","","","","","","","","","","",""
"13.03.2026","17:01:00","Vendor Payment-Cash","NYK-339039540-4175723-1","NYKAA E - RETAIL LIMITED ( SUPER STORE )","","","","","4,090.00","80,601.00","84,691.00","","","","","","","","","","","","","",""
"13.03.2026","19:53:00","Vendor Payment-Cash","21","  COCH BHAR BAZAAR (CLING FILM,ALUMINIUM FOIL )","","","","","4,090.00","80,601.00","84,691.00","","","","","","","","","","","","","",""
"13.03.2026","22:08:00","Sale-Cash","","","3,531.00","","","","7,621.00","80,601.00","88,222.00","","","","","","","","","","","","","",""
